Alternative,Highest Concurrency,Size_small,Size_mid_small,Size_medium,Size_mid_large,Size_large,Risk_low,Risk_mid_low,Risk_mid,Risk_mid_high,Risk_high,Closeness_close,Closeness_mid_close,Closeness_mid,Closeness_mid_far,Closeness_far,EnvImpact_close,EnvImpact_mid_close,EnvImpact_mid,EnvImpact_mid_far,EnvImpact_far,winter-like,summer-like,is-like
T3_D180_S42,205,0.9848726531904752,0.9758350898160593,0.9837098333683375,0.9958758446464705,0.993262145865316,0.9944924310593783,0.9865949486717295,0.989400250041439,0.9907429347526648,0.9830597620611431,0.9629397493151287,0.9698858578059141,0.9677463362572606,0.9689783206914084,0.9697281723368142,0.9870571970775187,0.9868179859972613,0.9892185917723595,0.9894360902556711,0.9900570068652497,0.6084452975047985,0.6314779270633397,0.5950095969289827
T3_D180_S73,211,0.9837926641156457,0.9758458754054458,0.9854180555125518,0.9957742432873157,0.9925349412880745,0.9944325370023739,0.9865129951905006,0.9893875514614607,0.9899555463797325,0.9818700567716578,0.9632991320443611,0.9720837070577161,0.9667073637464162,0.9676926564604251,0.9687777287335861,0.9880231240847337,0.9868912898410798,0.9884042414520426,0.9889512584580227,0.9898134367581729,0.5988483685220729,0.6353166986564299,0.5969289827255279
T3_D300_S33,204,0.9835968346769963,0.9763555605750981,0.9853637359993194,0.9958828049110687,0.9930617307629725,0.9954151901836856,0.9861053957474495,0.9878319125157194,0.9892412737747474,0.9856163149489803,0.9676575939332294,0.9719900571470619,0.9677768189453998,0.9675609238883777,0.9686923615195913,0.9870649173991694,0.983464995211681,0.9889174507654348,0.9891284929852828,0.989745533991126,0.6238003838771593,0.6180422264875239,0.6161228406909789
T3_D300_S42,206,0.9847788437782183,0.9753560933151761,0.9858246617524674,0.9960408416403603,0.9930167459270941,0.993440547842627,0.9876169000250914,0.9896711265281366,0.9903266274260109,0.9828280136930256,0.9656129889662518,0.973267174739226,0.9679617322245444,0.9684501443649579,0.9696368430719022,0.9871206270299618,0.9866419461963812,0.9889657380750388,0.9892182557731956,0.9899715941130582,0.5969289827255279,0.6391554702495201,0.6103646833013435
T3_D300_S73,209,0.9854018245327464,0.9720996945748539,0.9850617803457945,0.995893232450565,0.9930751603752817,0.9926067076527624,0.9870332768254526,0.9894350580206663,0.98993606115036,0.9832242640537159,0.9589472012555886,0.9697513432131996,0.9685481523267094,0.9689150759853842,0.9693930690209152,0.9871094827243267,0.9848890813577981,0.9890276298118049,0.9893187666194037,0.989988432271638,0.6084452975047985,0.6276391554702495,0.5988483685220729
T3_D500_S33,208,0.9837284347315698,0.9773240206571809,0.9858627406756426,0.9960235731157694,0.9935383456228841,0.9953928174386124,0.9875404228478246,0.9885958933726895,0.9899300706351112,0.9817050101822009,0.9654469696727498,0.9740016581136676,0.96705067295889,0.9678064217747328,0.9695064061670253,0.9897222013520655,0.9851809616510123,0.9886084516651632,0.9892322264986347,0.9900277468241572,0.6046065259117083,0.6391554702495201,0.6007677543186181
T3_D500_S42,206,0.9853876904211084,0.9744422443963191,0.986218768614665,0.9959464042624023,0.993516089682472,0.994135599112635,0.9869405596794576,0.9890990670808459,0.9906809267231713,0.9829547149166566,0.9606534024825316,0.9730176969071148,0.9691016620505186,0.9688416155208278,0.9700333494013035,0.9889930266176753,0.985136433773488,0.9890642689390781,0.9894172598660701,0.9901185143771295,0.6026871401151631,0.6391554702495201,0.6122840690978887
T3_D500_S73,211,0.9847364671278898,0.9743587159766839,0.9840303792047916,0.9959613378143137,0.9929242762421253,0.9932186439492922,0.9872380399890542,0.9892672883745455,0.9894853529699752,0.9835589217719792,0.9626791636503349,0.9724261702925856,0.9672828721386895,0.9679120079405867,0.9690184615446489,0.9864888475224787,0.9885917141484488,0.9888781502384086,0.9887385889686747,0.9897327540486411,0.6065259117082533,0.6333973128598849,0.5988483685220729
T3_D700_S33,216,0.9841228235077281,0.9713238977327288,0.984464537062917,0.9958306911189503,0.9930394444377691,0.9944289648697182,0.985562993757732,0.9895588056558997,0.9900246250921354,0.9830922606737736,0.9664851645189186,0.9684503612796214,0.9646805303783597,0.9663319832325967,0.9682506707709002,0.9872236265023466,0.9866712211103197,0.9876098079461195,0.9888033710656134,0.9896636635412221,0.6046065259117083,0.6372360844529751,0.5834932821497121
T3_D700_S42,206,0.9855731321577302,0.9757527055965899,0.9856567550147247,0.9956859026891132,0.9937158677193894,0.9931914722335591,0.9873982222248306,0.9896478536103097,0.9906417738080391,0.9841595883130797,0.9661907795465188,0.9733184024075465,0.9679411225792194,0.9679638568356146,0.9700294943402289,0.9885804943160563,0.9873960588494619,0.9889125007962417,0.9894758572112786,0.9901962127924526,0.6046065259117083,0.6333973128598849,0.6065259117082533
T3_D700_S73,209,0.9856483342089156,0.9721135472083601,0.9831070914728784,0.9957771752928113,0.9937609673993129,0.9961059480883236,0.9846383151264879,0.9890358686889075,0.9899817765563091,0.9825008710741826,0.9632765057139847,0.9698091678625327,0.966809091525653,0.9678675060993611,0.9692059823866594,0.9879570904411028,0.9844681649434336,0.9885881490324419,0.9893327862280893,0.9897891484880453,0.6084452975047985,0.6295585412667947,0.6122840690978887
T3_D900_S33,210,0.9853680990614265,0.9714404029372027,0.9843068705921094,0.9959207433759523,0.9934951772980717,0.9949376712977265,0.9856648963978559,0.9875022721430613,0.9915429940183081,0.9836623323927728,0.9589774648805651,0.9729096532376565,0.9683929826720828,0.9682252411265,0.9695151865487562,0.987209517047665,0.9883789279651338,0.9884939748319053,0.9895651797773463,0.9900423489388808,0.6026871401151631,0.6410748560460653,0.5950095969289827
T3_D900_S42,205,0.9849038755399406,0.9759066758451034,0.9856457472901308,0.9955062164685676,0.9932456780851594,0.9927429308880285,0.9872404390635499,0.9900344401987781,0.9900865533306484,0.9842070143202556,0.9653789725762423,0.9734005737341112,0.9681167192364205,0.968780317343103,0.969980861659534,0.9875204469341163,0.9867778996478721,0.9885774996027941,0.9891000445364845,0.9900006527505566,0.6046065259117083,0.6333973128598849,0.6084452975047985
T3_D900_S73,211,0.9839633781835535,0.9741516206841583,0.9838642269093854,0.9960546395774167,0.9929100464150346,0.9946610194878266,0.9874150393335738,0.9881250325697761,0.9878933720558059,0.9863574584570908,0.9683622225130245,0.9707728502617692,0.9658979125279707,0.9673971754909004,0.9682567104399353,0.986364313756958,0.9874154886979929,0.9883967996876364,0.9889290616114437,0.98957016884974,0.6007677543186181,0.6410748560460653,0.5911708253358925
T5_D300_S33,209,0.9842293951737615,0.976968186667675,0.985011295221064,0.9956258785369063,0.9927173130564855,0.9941006748045684,0.9872553924244802,0.9891031347367414,0.9899549685024788,0.9820119695920381,0.9648395530980065,0.9726326466955297,0.9666762238708392,0.9671711004163142,0.9686545968889302,0.987206106269385,0.9849790065358547,0.9885123354546017,0.9889470891856962,0.9896768644022079,0.6084452975047985,0.6314779270633397,0.6007677543186181
